sheet_id,cell,row,column,value,value_type,formula
sh_trial_main,A1,1,1,Plot_ID,string,
sh_trial_main,B1,1,2,Farm,string,
sh_trial_main,C1,1,3,Variety,string,
sh_trial_main,D1,1,4,Acreage,string,
sh_trial_main,E1,1,5,Cover_Crop_Establishment_Pct,string,
sh_trial_main,F1,1,6,Soil_Moisture_in,string,
sh_trial_main,G1,1,7,Nematode_Damage,string,
sh_trial_main,H1,1,8,Last_Visit,string,
sh_trial_main,I1,1,9,Notes,string,
sh_trial_main,A2,2,1,A-7,string,
sh_trial_main,B2,2,2,Henderson Farm,string,
sh_trial_main,C2,2,3,Crimson Clover,string,
sh_trial_main,D2,2,4,40,number,
sh_trial_main,E2,2,5,,number,
sh_trial_main,F2,2,6,,number,
sh_trial_main,G2,2,7,,string,
sh_trial_main,H2,2,8,2026-09-22,string,
sh_trial_main,I2,2,9,Eastern field - to be measured T18,string,
sh_trial_main,A3,3,1,A-17,string,
sh_trial_main,B3,3,2,Henderson Farm,string,
sh_trial_main,C3,3,3,Rye-Vetch Mix,string,
sh_trial_main,D3,3,4,40,number,
sh_trial_main,E3,3,5,72,number,
sh_trial_main,F3,3,6,1.8,number,
sh_trial_main,G3,3,7,Minor,string,
sh_trial_main,H3,3,8,2026-09-22,string,
sh_trial_main,I3,3,9,Western field,string,
sh_trial_main,A4,4,1,B-7,string,
sh_trial_main,B4,4,2,Mitchell Road Plots,string,
sh_trial_main,C4,4,3,Crimson Clover,string,
sh_trial_main,D4,4,4,25,number,
sh_trial_main,E4,4,5,68,number,
sh_trial_main,F4,4,6,1.6,number,
sh_trial_main,G4,4,7,None,string,
sh_trial_main,H4,4,8,2026-09-25,string,
sh_trial_main,I4,4,9,South parcel,string,
sh_trial_main,A5,5,1,B-12,string,
sh_trial_main,B5,5,2,Sawyer Farm,string,
sh_trial_main,C5,5,3,Crimson Clover,string,
sh_trial_main,D5,5,4,15,number,
sh_trial_main,E5,5,5,80,number,
sh_trial_main,F5,5,6,2.1,number,
sh_trial_main,G5,5,7,None,string,
sh_trial_main,H5,5,8,2026-09-26,string,
sh_trial_main,I5,5,9,Patricia Sawyer plot,string,
sh_trial_main,A6,6,1,C-3,string,
sh_trial_main,B6,6,2,Chen Farm,string,
sh_trial_main,C6,6,3,Rye-Vetch Mix,string,
sh_trial_main,D6,6,4,12,number,
sh_trial_main,E6,6,5,75,number,
sh_trial_main,F6,6,6,2.0,number,
sh_trial_main,G6,6,7,None,string,
sh_trial_main,H6,6,8,2026-09-27,string,
sh_trial_main,I6,6,9,Robert Chen plot,string,
sh_trial_yield,A1,1,1,Plot_ID,string,
sh_trial_yield,B1,1,2,Variety,string,
sh_trial_yield,C1,1,3,Pre_Intervention_Gallons_Acre,string,
sh_trial_yield,D1,1,4,Post_Intervention_Gallons_Acre,string,
sh_trial_yield,E1,1,5,Yield_Bushels,string,
sh_trial_yield,A2,2,1,A-7,string,
sh_trial_yield,B2,2,2,Crimson Clover,string,
sh_trial_yield,C2,2,3,2847,number,
sh_trial_yield,D2,2,4,1923,number,
sh_trial_yield,E2,2,5,,number,
sh_trial_yield,A3,3,1,A-17,string,
sh_trial_yield,B3,3,2,Rye-Vetch Mix,string,
sh_trial_yield,C3,3,3,2780,number,
sh_trial_yield,D3,3,4,1894,number,
sh_trial_yield,E3,3,5,,number,
sh_trial_yield,A4,4,1,B-7,string,
sh_trial_yield,B4,4,2,Crimson Clover,string,
sh_trial_yield,C4,4,3,3211,number,
sh_trial_yield,D4,4,4,2156,number,
sh_trial_yield,E4,4,5,,number,
sh_trial_yield,A5,5,1,B-12,string,
sh_trial_yield,B5,5,2,Crimson Clover,string,
sh_trial_yield,C5,5,3,2594,number,
sh_trial_yield,D5,5,4,1847,number,
sh_trial_yield,E5,5,5,,number,
sh_trial_yield,A6,6,1,C-3,string,
sh_trial_yield,B6,6,2,Rye-Vetch Mix,string,
sh_trial_yield,C6,6,3,2502,number,
sh_trial_yield,D6,6,4,1812,number,
sh_trial_yield,E6,6,5,,number,
