sheet_id,cell,row,column,value,value_type,formula
sh_harvest_main,A1,1,1,Volunteer Name,string,
sh_harvest_main,B1,1,2,Role,string,
sh_harvest_main,C1,1,3,Phone,string,
sh_harvest_main,D1,1,4,Confirmed,string,
sh_harvest_main,E1,1,5,Station Assignment,string,
sh_harvest_main,F1,1,6,Notes,string,
sh_harvest_main,A2,2,1,VOLUNTEER COUNT (TOTAL),string,
sh_harvest_main,B2,2,2,,string,
sh_harvest_main,C2,2,3,,string,
sh_harvest_main,D2,2,4,47,number,
sh_harvest_main,E2,2,5,Updated 2026-10-01 per Dorothy Mae,string,
sh_harvest_main,F2,2,6,,string,
sh_harvest_main,A3,3,1,Dorothy Mae Jenkins,string,
sh_harvest_main,B3,3,2,Volunteer Coordinator,string,
sh_harvest_main,C3,3,3,(919) 555-0216,string,
sh_harvest_main,D3,3,4,Yes,string,
sh_harvest_main,E3,3,5,Welcome / Registration,string,
sh_harvest_main,F3,3,6,,string,
sh_harvest_main,A4,4,1,Marcus Wiggins,string,
sh_harvest_main,B4,4,2,Setup Lead,string,
sh_harvest_main,C4,4,3,(919) 555-0178,string,
sh_harvest_main,D4,4,4,Yes,string,
sh_harvest_main,E4,4,5,Setup,string,
sh_harvest_main,F4,4,6,,string,
sh_harvest_main,A5,5,1,Brandon Mitchell,string,
sh_harvest_main,B5,5,2,Kids Activities,string,
sh_harvest_main,C5,5,3,(919) 555-0227,string,
sh_harvest_main,D5,5,4,Yes,string,
sh_harvest_main,E5,5,5,Kids Corner,string,
sh_harvest_main,F5,5,6,Bringing curriculum samples,string,
sh_harvest_main,A6,6,1,Patricia Sawyer,string,
sh_harvest_main,B6,6,2,Farm Demonstration,string,
sh_harvest_main,C6,6,3,(919) 555-0288,string,
sh_harvest_main,D6,6,4,Yes,string,
sh_harvest_main,E6,6,5,Demo Station C,string,
sh_harvest_main,F6,6,6,,string,
sh_harvest_main,A7,7,1,James R. Thompson,string,
sh_harvest_main,B7,7,2,Cover Crop Demo,string,
sh_harvest_main,C7,7,3,(919) 555-0312,string,
sh_harvest_main,D7,7,4,Yes,string,
sh_harvest_main,E7,7,5,Demo Station A,string,
sh_harvest_main,F7,7,6,Hwy 157 40-acre farm,string,
sh_harvest_main,A8,8,1,Robert Chen,string,
sh_harvest_main,B8,8,2,Soil Tasting Station,string,
sh_harvest_main,C8,8,3,(919) 555-0344,string,
sh_harvest_main,D8,8,4,Yes,string,
sh_harvest_main,E8,8,5,Demo Station B,string,
sh_harvest_main,F8,8,6,,string,
sh_harvest_main,A9,9,1,Tamika Jefferson,string,
sh_harvest_main,B9,9,2,Photographer,string,
sh_harvest_main,C9,9,3,(919) 555-0193,string,
sh_harvest_main,D9,9,4,Yes,string,
sh_harvest_main,E9,9,5,Roaming,string,
sh_harvest_main,F9,9,6,,string,
sh_harvest_main,A10,10,1,LOCATION,string,
sh_harvest_main,B10,10,2,,string,
sh_harvest_main,C10,10,3,,string,
sh_harvest_main,D10,10,4,Heritage Oak Community Center - Main Pavilion,string,
sh_harvest_main,E10,10,5,Canonical per spreadsheet,string,
sh_harvest_main,F10,10,6,,string,
sh_harvest_main,A11,11,1,DATE,string,
sh_harvest_main,B11,11,2,,string,
sh_harvest_main,C11,11,3,,string,
sh_harvest_main,D11,11,4,2026-10-17,string,
sh_harvest_main,E11,11,5,Saturday 9 AM - 3 PM,string,
sh_harvest_main,F11,11,6,,string,
