list_id,email_address,full_name,status,timestamp_signup,member_rating
list_j20_parents,marcus.cochran.skelleftea@gmail.com,Marcus Cochran,subscribed,2024-09-01T08:00:00,5
list_j20_parents,denise.carter.skol@gmail.com,Denise Carter,subscribed,2024-09-01T08:00:00,5
list_j20_parents,henrik.ek.umea@gmail.com,Henrik Ek,subscribed,2024-09-04T08:00:00,5
list_j20_parents,annika.ek.umea@gmail.com,Annika Ek,subscribed,2024-09-04T08:00:00,5
list_j20_parents,nils.bergqvist.hockey@gmail.com,Nils Bergqvist,subscribed,2024-09-04T08:00:00,4
list_j20_parents,lars.andersson.j20@gmail.com,Lars Andersson,subscribed,2024-09-05T08:00:00,4
list_j20_parents,ingrid.lundgren.j20@gmail.com,Ingrid Lundgren,subscribed,2024-09-05T08:00:00,4
list_j20_parents,magnus.holm.j20@gmail.com,Magnus Holm,subscribed,2024-09-06T08:00:00,4
list_j20_parents,karin.holm.j20@gmail.com,Karin Holm,subscribed,2024-09-06T08:00:00,4
list_j20_parents,peter.lindberg.j20@gmail.com,Peter Lindberg,subscribed,2024-09-08T08:00:00,3
list_j20_parents,asa.lindberg.j20@gmail.com,Asa Lindberg,subscribed,2024-09-08T08:00:00,3
list_j20_parents,johan.eriksson.j20@gmail.com,Johan Eriksson,subscribed,2024-09-10T08:00:00,4
list_j20_parents,maria.eriksson.j20@gmail.com,Maria Eriksson,subscribed,2024-09-10T08:00:00,4
list_j20_parents,anders.svensson.j20@gmail.com,Anders Svensson,subscribed,2024-09-12T08:00:00,4
list_j20_parents,lena.svensson.j20@gmail.com,Lena Svensson,subscribed,2024-09-12T08:00:00,4
list_j20_parents,olof.berg.j20@gmail.com,Olof Berg,subscribed,2024-09-15T08:00:00,3
list_j20_parents,kristina.berg.j20@gmail.com,Kristina Berg,subscribed,2024-09-15T08:00:00,3
list_j20_parents,henrik.lund.j20@gmail.com,Henrik Lund,subscribed,2024-09-15T08:00:00,3
list_j20_parents,monika.lund.j20@gmail.com,Monika Lund,subscribed,2024-09-15T08:00:00,3
list_j20_parents,tobias.almgren.j20@gmail.com,Tobias Almgren,subscribed,2024-09-18T08:00:00,4
list_j20_parents,ulla.almgren.j20@gmail.com,Ulla Almgren,subscribed,2024-09-18T08:00:00,4
list_j20_parents,fredrik.karlsson.j20@gmail.com,Fredrik Karlsson,subscribed,2024-09-20T08:00:00,4
list_j20_parents,petra.karlsson.j20@gmail.com,Petra Karlsson,subscribed,2024-09-20T08:00:00,4
list_j20_parents,joakim.nordin.j20@gmail.com,Joakim Nordin,subscribed,2024-09-22T08:00:00,3
list_j20_parents,lisa.nordin.j20@gmail.com,Lisa Nordin,subscribed,2024-09-22T08:00:00,3
list_j20_parents,stefan.bjorklund.j20@gmail.com,Stefan Bjorklund,subscribed,2024-09-24T08:00:00,2
list_j20_parents,annika.bjorklund.j20@gmail.com,Annika Bjorklund,subscribed,2024-09-24T08:00:00,2
list_j20_parents,mikael.persson.j20@gmail.com,Mikael Persson,subscribed,2024-09-26T08:00:00,3
list_j20_parents,ulla.persson.j20@gmail.com,Ulla Persson,subscribed,2024-09-26T08:00:00,3
list_j20_parents,patrik.lindstrom.j20@gmail.com,Patrik Lindstrom,subscribed,2024-09-29T08:00:00,3
list_j20_parents,elin.lindstrom.j20@gmail.com,Elin Lindstrom,subscribed,2024-09-29T08:00:00,3
list_j20_parents,anders.holm.j20@gmail.com,Anders Holm,subscribed,2024-10-02T08:00:00,4
list_j20_parents,kerstin.holm.j20@gmail.com,Kerstin Holm,subscribed,2024-10-02T08:00:00,4
list_j20_parents,jan.olsson.j20@gmail.com,Jan Olsson,subscribed,2024-10-05T08:00:00,3
list_camp_alumni,henrik.ek.umea@gmail.com,Henrik Ek,subscribed,2024-07-30T08:00:00,4
list_camp_alumni,annika.ek.umea@gmail.com,Annika Ek,subscribed,2024-07-30T08:00:00,4
list_camp_alumni,marcus.cochran.skelleftea@gmail.com,Marcus Cochran,subscribed,2024-07-30T08:00:00,5
