courseId,userId,fullName,emailAddress,photoUrl
PH206_S26,student_ph206_001,Aisha Patel,apatel.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_001
PH206_S26,student_ph206_002,Marcus Thompson,mthompson.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_002
PH206_S26,student_ph206_003,Jin Liu,jliu.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_003
PH206_S26,student_ph206_004,Sofia Hernandez,shernandez.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_004
PH206_S26,student_ph206_005,Daniel O'Connor,doconnor.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_005
PH206_S26,student_ph206_006,Priya Sundaram,psundaram.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_006
PH206_S26,student_ph206_007,Tasha Williams,twilliams.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_007
PH206_S26,student_ph206_008,Carlos Vargas,cvargas.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_008
PH206_S26,student_ph206_009,Rebecca Kim,rkim.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_009
PH206_S26,student_ph206_010,Ahmed Hassan,ahassan.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_010
PH206_S26,student_ph206_011,Lillian Brooks,lbrooks.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_011
PH206_S26,student_ph206_012,David Chen,dchen.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_012
PH206_S26,student_ph206_013,Naomi Rivera,nrivera.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_013
PH206_S26,student_ph206_014,Connor Walsh,cwalsh.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_014
PH206_S26,student_ph206_015,Fatima Diallo,fdiallo.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_015
PH206_S26,student_ph206_016,Tyler Jackson,tjackson.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_016
PH206_S26,student_ph206_017,Emma Yates,eyates.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_017
PH206_S26,student_ph206_018,Rajesh Iyer,riyer.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_018
PH206_S26,student_ph206_019,Hannah Goldberg,hgoldberg.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_019
PH206_S26,student_ph206_020,Kwame Asante,kasante.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_020
PH206_S26,student_ph206_021,Sarah McAllister,smcallister.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_021
PH206_S26,student_ph206_022,Devon Brooks,dbrooks.mph@amberfield.edu,https://lh3.googleusercontent.com/a/student_ph206_022
